imdb_id,imdb_rating,metacritic_score,title,year,boxOffice,numTickets,boxOfficeAdjusted,ticketPriceAdjusted
tt0230600,7.599999999999999,74.0,The Others,2001,96522687,17053478,22797044.638639584,1.3367973757986251
tt0076618,6.9,74.0,The Rescuers,1977,29052407,13027985,20049970.324361626,1.5389924323954645
tt2709768,6.5,61.0,The Secret Life of Pets,2016,368384330,42587783,64178454.70383275,1.506968669954779
tt5113040,6.5,,The Secret Life of Pets 2,2019,158874395,17344366,25985344.291789338,1.4982008735164685
tt0093936,6.5,,The Secret of My Success,1987,66995000,17134271,24657710.710342288,1.4390872369383143
tt0102926,8.599999999999998,85.0,The Silence of the Lambs,1991,130726716,31051476,40137155.66472214,1.2926005728269452
tt0462538,7.3,,The Simpsons Movie,2007,183135014,26618461,36937275.917708755,1.3876563306086236
tt2279373,6.0,62.0,The SpongeBob Movie: Sponge Out of Water,2015,162994032,19334997,28756886.37967537,1.4872971730833664
tt0076752,7.1,55.0,The Spy Who Loved Me,1977,46800000,20986547,32298136.64596273,1.538992414805672
tt0084749,5.6,39.0,The Sword and the Sorcerer,1982,36714025,12487763,15907289.861351822,1.2738302177381027
tt0120484,6.1,41.0,The Waterboy,1998,150042308,31991963,38492126.21857363,1.2031811307913063
tt0070903,7.1,61.0,The Way We Were,1973,49919870,28203316,47005527.30696798,1.6666666893697175
tt1430132,6.7,40.0,The Wolverine,2013,132556852,16304655,23794085.801471908,1.4593431017995724
tt0143145,6.4,57.0,The World Is Not Enough,1999,117877025,23204138,29587606.67670683,1.2751004444425744
tt0800369,7.0,75.0,Thor,2011,181030624,22828578,33655070.45919316,1.4742517233965762
tt0073802,7.4,63.0,Three Days of the Condor,1975,41509797,20248681,32253144.522144523,1.5928516293058557
tt0088272,6.3,57.0,Tightrope,1984,48100000,14315476,19363929.146537844,1.3526570228288493
tt1361336,5.3,32.0,Tom and Jerry,2021,46000271,5021863,7432585.393439974,1.480045432031892
tt0120347,6.5,52.0,Tomorrow Never Dies,1997,92433154,20137942,24077404.011461318,1.1956238632260097
tt0084805,7.4,88.0,Tootsie,1982,40897781,13910809,17720009.09878683,1.2738302350917787
tt0098536,6.2,36.0,Turner & Hooch,1989,71079915,17814515,23972989.881956156,1.3456998342057673
tt0086491,6.5,,Twilight Zone: The Movie,1983,29500000,9365079,12384550.797649033,1.3224181875720464
tt0096320,6.1,74.0,Twins,1988,73099158,17785683,25848358.557284303,1.4533239211158944
tt0105690,6.5,16.0,Under Siege,1992,80939817,19503570,24117943.087008346,1.2365912028930266
tt0078446,6.9,50.0,Up in Smoke,1978,41590893,17773885,26660828.846153844,1.5000000757377379
tt0081696,6.4,61.0,Urban Cowboy,1980,46918287,17441742,23804305.936073057,1.3647894766516473
tt7097896,6.3,48.0,Venom: Let There Be Carnage,2021,197007650,21507385,31831903.37695912,1.4800452671005386
tt0396269,6.9,64.0,Wedding Crashers,2005,209218368,32639370,44800507.06638116,1.3725910477555527
tt0105812,6.8,,White Men Can't Jump,1992,76253806,18374411,22721634.684147798,1.2365911856520353
tt0451279,7.4,60.0,Wonder Woman,2017,412563408,45993691,70379291.70931423,1.5301944718747236
tt1877832,7.9,75.0,X-Men: Days of Future Past,2014,233921534,28631766,41321592.298180535,1.4432079494565768
tt0115433,5.7,49.0,101 Dalmatians,1996,121795758,27555601,32470210.07731272,1.178352454635728
