imdb_id,source,rating
tt0082406,IMDb,7.3
tt0082406,Metacritic,73.0
tt0076070,IMDb,6.4
tt0076070,Metacritic,59.0
tt0091129,IMDb,6.0
tt0091129,Metacritic,37.0
tt1979388,IMDb,6.7
tt1979388,Metacritic,66.0
tt0089218,IMDb,7.8
tt0089218,Metacritic,62.0
tt1411697,IMDb,6.5
tt1411697,Metacritic,30.0
tt2310332,IMDb,7.4
tt2310332,Metacritic,59.0
tt1170358,IMDb,7.8
tt1170358,Metacritic,66.0
tt1951264,IMDb,7.5
tt1951264,Metacritic,76.0
tt1951266,IMDb,6.6
tt0317705,IMDb,8.0
tt0317705,Metacritic,80.0
tt0317740,IMDb,7.0
tt0317740,Metacritic,68.0
tt0110366,IMDb,6.3
tt0110366,Metacritic,45.0
tt0077869,IMDb,6.2
tt0077869,Metacritic,94.0
tt0167261,IMDb,8.699999999999998
tt0167261,Metacritic,87.0
tt0079510,IMDb,5.6
tt0079510,Metacritic,52.0
tt0110475,IMDb,6.9
tt0110475,Metacritic,56.0
tt0120746,IMDb,6.8
tt0120746,Metacritic,63.0
tt0074906,IMDb,6.5
tt0074906,Metacritic,65.0
tt0079588,IMDb,7.599999999999999
tt0095705,IMDb,7.599999999999999
tt0095705,Metacritic,76.0
tt0076507,IMDb,6.1
tt0230600,IMDb,7.599999999999999
tt0230600,Metacritic,74.0
tt0076618,IMDb,6.9
tt0076618,Metacritic,74.0
tt2709768,IMDb,6.5
tt2709768,Metacritic,61.0
tt5113040,IMDb,6.5
tt0093936,IMDb,6.5
tt0102926,IMDb,8.599999999999998
tt0102926,Metacritic,85.0
tt0462538,IMDb,7.3
tt2279373,IMDb,6.0
tt2279373,Metacritic,62.0
tt0076752,IMDb,7.1
tt0076752,Metacritic,55.0
tt0084749,IMDb,5.6
tt0084749,Metacritic,39.0
tt0120484,IMDb,6.1
tt0120484,Metacritic,41.0
tt0070903,IMDb,7.1
tt0070903,Metacritic,61.0
tt1430132,IMDb,6.7
tt1430132,Metacritic,40.0
tt0143145,IMDb,6.4
tt0143145,Metacritic,57.0
tt0800369,IMDb,7.0
tt0800369,Metacritic,75.0
tt0073802,IMDb,7.4
tt0073802,Metacritic,63.0
tt0088272,IMDb,6.3
tt0088272,Metacritic,57.0
tt1361336,IMDb,5.3
tt1361336,Metacritic,32.0
tt0120347,IMDb,6.5
tt0120347,Metacritic,52.0
tt0084805,IMDb,7.4
tt0084805,Metacritic,88.0
tt0098536,IMDb,6.2
tt0098536,Metacritic,36.0
tt0086491,IMDb,6.5
tt0096320,IMDb,6.1
tt0096320,Metacritic,74.0
tt0105690,IMDb,6.5
tt0105690,Metacritic,16.0
tt0078446,IMDb,6.9
tt0078446,Metacritic,50.0
tt0081696,IMDb,6.4
tt0081696,Metacritic,61.0
tt7097896,IMDb,6.3
tt7097896,Metacritic,48.0
tt0396269,IMDb,6.9
tt0396269,Metacritic,64.0
tt0105812,IMDb,6.8
tt0451279,IMDb,7.4
tt0451279,Metacritic,60.0
tt1877832,IMDb,7.9
tt1877832,Metacritic,75.0
tt0115433,IMDb,5.7
tt0115433,Metacritic,49.0
tt2294449,IMDb,7.0
tt2294449,Metacritic,71.0
tt0104257,IMDb,7.7
tt0104257,Metacritic,62.0
tt0075648,IMDb,5.7
tt0075648,Metacritic,36.0
tt2049386,IMDb,7.2
tt2049386,Metacritic,53.0
tt1014759,IMDb,6.4
tt1014759,Metacritic,53.0
tt0069704,IMDb,7.4
tt0069704,Metacritic,97.0
tt0090633,IMDb,6.9
tt0090633,Metacritic,38.0
tt0082010,IMDb,7.5
tt0082010,Metacritic,55.0
tt0122933,IMDb,6.7
tt0478970,IMDb,7.3
tt0478970,Metacritic,70.0
tt0078788,IMDb,8.4
tt1477834,IMDb,6.9
tt1477834,Metacritic,55.0
tt0368578,IMDb,4.7
tt0295178,IMDb,6.2
tt0295178,Metacritic,62.0
tt0145660,IMDb,6.6
tt0145660,Metacritic,59.0
tt4154796,IMDb,8.4
tt4154796,Metacritic,78.0
tt0090685,IMDb,6.7
tt0090685,Metacritic,82.0
tt0088763,IMDb,8.5
tt0088763,Metacritic,10.0
tt0099088,IMDb,7.4
tt0099088,Metacritic,55.0
tt4651520,IMDb,6.2
tt4651520,Metacritic,60.0
tt0072684,IMDb,8.099999999999998
tt0072684,Metacritic,89.0
tt0103772,IMDb,7.0
tt0103772,Metacritic,41.0
tt0118688,IMDb,3.8
tt0118688,Metacritic,28.0
tt0372784,IMDb,8.199999999999998
tt0372784,Metacritic,70.0
tt0112462,IMDb,5.4
tt0112462,Metacritic,51.0
tt0069768,IMDb,5.5
tt0069768,Metacritic,40.0
tt0103786,IMDb,5.7
tt0103786,Metacritic,59.0
tt0092644,IMDb,6.5
tt0092644,Metacritic,16.0
tt0094746,IMDb,6.6
tt0094746,Metacritic,61.0
tt0083658,IMDb,8.099999999999998
tt0092666,IMDb,6.0
tt0092666,Metacritic,51.0
tt1478338,IMDb,6.8
tt1478338,Metacritic,75.0
tt0305669,IMDb,5.6
tt0068327,IMDb,7.8
tt0068327,Metacritic,80.0
tt3498820,IMDb,7.8
tt3498820,Metacritic,75.0
tt1843866,IMDb,7.7
tt1843866,Metacritic,70.0
tt0074285,IMDb,7.4
tt0074285,Metacritic,85.0
tt0317219,IMDb,7.1
tt0162222,IMDb,7.8
tt0162222,Metacritic,73.0
tt0371606,IMDb,5.7
tt0371606,Metacritic,48.0
tt1661199,IMDb,6.9
tt1661199,Metacritic,67.0
tt5089556,IMDb,8.099999999999998
tt5089556,Metacritic,67.0
tt0120632,IMDb,6.7
tt0120632,Metacritic,78.0
tt0088944,IMDb,6.7
tt0088944,Metacritic,51.0
tt0118880,IMDb,6.9
tt0118880,Metacritic,52.0
tt0115956,IMDb,6.6
tt0115956,Metacritic,77.0
tt0068468,IMDb,5.1
tt0068468,Metacritic,64.0
tt0068473,IMDb,7.7
tt0068473,Metacritic,80.0
tt1690953,IMDb,7.3
tt3469046,IMDb,6.3
tt0092890,IMDb,7.0
tt0092890,Metacritic,65.0
tt1840309,IMDb,6.6
tt1840309,Metacritic,48.0
tt0092925,IMDb,6.0
tt0092925,Metacritic,62.0
tt0080661,IMDb,7.1
tt0080661,Metacritic,74.0
tt0461770,IMDb,7.0
tt0461770,Metacritic,75.0
tt0116213,IMDb,6.1
tt0116213,Metacritic,87.0
tt0079116,IMDb,7.599999999999999
tt0079116,Metacritic,76.0
tt5433138,IMDb,5.2
tt5433138,Metacritic,58.0
tt0119094,IMDb,7.2
tt1596343,IMDb,7.3
tt0085549,IMDb,6.2
tt0085549,Metacritic,39.0
tt0408790,IMDb,6.3
tt0408790,Metacritic,53.0
tt0369436,IMDb,5.7
tt0369436,Metacritic,41.0
tt0109831,IMDb,7.1
tt0109831,Metacritic,81.0
tt0080761,IMDb,6.4
tt0080761,Metacritic,22.0
tt0093058,IMDb,8.3
tt0093058,Metacritic,76.0
tt1583421,IMDb,5.8
tt1583421,Metacritic,41.0
tt1046173,IMDb,5.8
tt1046173,Metacritic,32.0
tt0097428,IMDb,6.6
tt1133985,IMDb,5.5
tt1133985,Metacritic,39.0
tt1502407,IMDb,6.6
tt1502407,Metacritic,87.0
tt0448157,IMDb,6.4
tt0448157,Metacritic,49.0
tt0099785,IMDb,7.599999999999999
tt0099785,Metacritic,80.0
tt2510894,IMDb,6.7
tt0170016,IMDb,6.2
tt0170016,Metacritic,46.0
tt1646971,IMDb,7.8
tt0268380,IMDb,7.5
