title,metacritic_score
Purple Rain,55
Terms of Endearment,79
Splash,74
Grand Canyon: The Hidden Secrets,
Tightrope,57
The Natural,74
Greystoke: The Legend of Tarzan, Lord of the Apes,62
Revenge of the Nerds,44
Red Dawn,31
Bachelor Party,56
Breakin',42
The Terminator,38
All of Me,38
Friday the 13th Part IV: The Final Chapter,
2010,53
City Heat,39
Star Wars Ep. VI: Return of the Jedi,
Tootsie,88
Flashdance,39
Trading Places,69
WarGames,77
Octopussy,63
Mr. Mom,
Staying Alive,
Risky Business,
National Lampoon's Vacation,55
Superman III,
Never Say Never Again,
Gandhi,79
48 Hrs.,71
The Big Chill,61
Terms of Endearment,79
Blue Thunder,66
Jaws 3-D,27
Sudden Impact,52
The Verdict,77
E.T. the Extra-Terrestrial,91
Porky's II: The Next Day,38
Psycho II,54
Snow White and the Seven Dwarfs,95
Twilight Zone: The Movie,44
E.T. the Extra-Terrestrial,91
Rocky III,57
On Golden Pond,68
An Officer and a Gentleman,75
Porky's,40
Star Wars Ep. IV: A New Hope,
Star Trek II: The Wrath of Khan,67
Poltergeist,47
The Best Little Whorehouse in Texas,40
Chariots of Fire,78
Annie,33
Raiders of the Lost Ark,85
Firefox,44
First Blood,47
Tootsie,88
Conan the Barbarian,43
The Sword and the Sorcerer,39
Friday the 13th Part 3,
Richard Pryor Live on the Sunset Strip,
Young Doctors in Love,
The Toy,95
The World According to Garp,63
Reds,76
Blade Runner,81
Fast Times at Ridgemont High,61
Raiders of the Lost Ark,85
Superman II,83
Nine to Five,
Stripes,68
Arthur,41
The Cannonball Run,28
For Your Eyes Only,54
The Fox and the Hound,65
The Four Seasons,55
Cheech & Chong's Nice Dreams,
Tarzan, The Ape Man,24
Excalibur,56
Time Bandits,79
Endless Love,30
An American Werewolf in London,55
History of the World: Part I,47
Bustin' Loose,55
The Great Muppet Caper,70
Clash of the Titans,39
Fort Apache, The Bronx,49
The Jazz Singer,76
Only When I Laugh,
Halloween II,35
Escape from New York,76
Body Heat,77
Star Wars Ep. V: The Empire Strikes Back,
Stir Crazy,56
Kramer vs. Kramer,77
Airplane!,78
Any Which Way You Can,51
Private Benjamin,59
Coal Miner's Daughter,87
Smokey and the Bandit II,41
The Blues Brothers,
Ordinary People,86
Popeye,64
The Blue Lagoon,31
Urban Cowboy,61
The Shining,66
Cheech & Chong's Next Movie,66
